date,country,location,purpose,president
"July 14–15, 1978",West Germany,"Bonn,Wiesbaden-Erbenheim,Frankfurt",State visit. Met with President Walter Scheel and Chancellor Helmut Schmidt. Addressed U.S. and German military personnel.,Jimmy Carter
"July 15, 1978",West Germany,West Berlin,Spoke at the Berlin Airlift Memorial.,Jimmy Carter
"July 16–17, 1978",West Germany,Bonn,Attended the 4th G7 summit.,Jimmy Carter
"January 4–9, 1979",France,"Basse-Terre, Guadeloupe","Met informally with President Valéry Giscard d'Estaing, German Chancellor Helmut Schmidt and British Prime Minister James Callaghan.",Jimmy Carter
"February 14–16, 1979",Mexico,Mexico City,State visit. Met with President José López Portillo. Addressed the Mexican Congress.,Jimmy Carter
"March 7–9, 1979",Egypt,"Cairo,Alexandria,Giza",State visit. Met with President Anwar Sadat. Addressed People's Assembly of Egypt.,Jimmy Carter
"March 10–13, 1979",Israel,"Tel Aviv,Jerusalem",State visit. Met with President Yitzhak Navon and Prime Minister Menachem Begin. Addressed the Knesset.,Jimmy Carter
"March 13, 1979",Egypt,Cairo,Met with President Anwar Sadat.,Jimmy Carter
"June 14–18, 1979",Austria,Vienna,State visit. Met with President Rudolf Kirchschläger and Chancellor Bruno Kreisky. Met with Soviet General Secretary Leonid Brezhnev to sign SALT II Treaty.,Jimmy Carter
"June 25–29, 1979",Japan,"Tokyo,Shimoda",Attended the 5th G7 summit. State visit. Met with Emperor Hirohito and Prime Minister Masayoshi Ōhira.,Jimmy Carter
"June 29 – July 1, 1979",South Korea,Seoul,State visit. Met with President Park Chung-hee and Prime Minister Choi Kyu-hah.,Jimmy Carter
"June 19–24, 1980",Italy,"Rome,Venice",Attended the 6th G7 summit. State Visit. Met with President Sandro Pertini.,Jimmy Carter
"June 21, 1980",Vatican City,Apostolic Palace,Audience with Pope John Paul II.,Jimmy Carter
"June 24–25, 1980",Yugoslavia,Belgrade,Official visit. Met with President Cvijetin Mijatović.,Jimmy Carter
"June 25–26, 1980",Spain,Madrid,Official visit. Met with King Juan Carlos I and Prime Minister Adolfo Suárez.,Jimmy Carter
"June 26–30, 1980",Portugal,Lisbon,Official visit. Met with President António Ramalho Eanes and Prime Minister Francisco de Sá Carneiro.,Jimmy Carter
"July 9–10, 1980",Japan,Tokyo,"Official visit. Attended memorial services for former Prime Minister Masayoshi Ōhira. Met with Emperor Hirohito, Bangla President Ziaur Rahman, Australian Prime Minister Malcolm Fraser, Thai Prime Minister Prem Tinsulanonda and Chinese Premier Hua Guofeng.",Jimmy Carter
"October 21, 1974",Mexico,"Nogales, Magdalena de Kino",Met with President Luis Echeverría and laid a wreath at the tomb of Padre Eusebio Kino.,Gerald Ford
"November 19–22, 1974",Japan,"Tokyo,Kyoto",State visit. Met with Prime Minister Kakuei Tanaka.,Gerald Ford
"November 22–23, 1974",South Korea,Seoul,Met with President Park Chung-hee.,Gerald Ford
"November 23–24, 1974",Soviet Union,Vladivostok,Met with General Secretary Leonid Brezhnev and discussed limitations of strategic arms.,Gerald Ford
"December 14–16, 1974",Martinique,Fort-de-France,Met with President Valéry Giscard d'Estaing.,Gerald Ford
"May 28–31, 1975",Belgium,Brussels,Attended the NATO Summit Meeting. Addressed the North Atlantic Council and met separately with NATO heads of state and government.,Gerald Ford
"May 31 – June 1, 1975",Spain,Madrid,Met with Generalissimo Francisco Franco. Received keys to city from Mayor of Madrid Miguel Angel García-Lomas Mata.,Gerald Ford
"June 1–3, 1975",Austria,Salzburg,Met with Chancellor Bruno Kreisky and Egyptian President Anwar Sadat.,Gerald Ford
"June 3, 1975",Italy,Rome,Met with President Giovanni Leone and Prime Minister Aldo Moro.,Gerald Ford
"June 3, 1975",Vatican City,Apostolic Palace,Audience with Pope Paul VI.,Gerald Ford
"July 26–28, 1975",West Germany,"Bonn,Linz am Rhein",Met with President Walter Scheel and Chancellor Helmut Schmidt.,Gerald Ford
"July 28–29, 1975",Poland,"Warsaw,Kraków",Official visit. Met with First Secretary Edward Gierek.,Gerald Ford
"July 29 – August 2, 1975",Finland,Helsinki,"Attended opening session of the Conference on Security and Cooperation in Europe. Met with the heads of state and government of Finland, Great Britain, Turkey, West Germany, France, Italy and Spain. Also met with Soviet General Secretary Brezhnev. Signed the final act of the conference.",Gerald Ford
"August 2–3, 1975",Romania,"Bucharest,Sinaia",Official visit. Met with President Nicolae Ceaușescu.,Gerald Ford
"August 3–4, 1975",Yugoslavia,Belgrade,Official visit. Met with President Josip Broz Tito and Prime Minister Džemal Bijedić.,Gerald Ford
"November 15–17, 1975",France,Rambouillet,Attended the 1st G6 summit.,Gerald Ford
"December 1–5, 1975",China,Peking,Official visit. Met with Party Chairman Mao Zedong and Vice Premier Deng Xiaoping.,Gerald Ford
"December 5–6, 1975",Indonesia,Jakarta,Official visit. Met with President Suharto.,Gerald Ford
"December 6–7, 1975",Philippines,Manila,Official visit. Met with President Ferdinand Marcos.,Gerald Ford
"February 23–24, 1969",Belgium,Brussels,Attended the 23rd meeting of North Atlantic Council. Met with King Baudouin I.,Richard Nixon
"February 24–26, 1969",United Kingdom,London,Informal visit. Delivered several public addresses.,Richard Nixon
"February 26–27, 1969",West Germany,West BerlinBonn,Delivered several public addresses. Addressed the Bundestag.,Richard Nixon
"February 27–28, 1969",Italy,Rome,Met with President Giuseppe Saragat and Prime Minister Mariano Rumor and other officials.,Richard Nixon
"February 28 – March 2, 1969",France,Paris,Met with President Charles de Gaulle.,Richard Nixon
"March 2, 1969",Vatican City,Apostolic Palace,Audience with Pope Paul VI.,Richard Nixon
"July 26–27, 1969",Philippines,Manila,State visit. Met with President Ferdinand Marcos.,Richard Nixon
"July 27–28, 1969",Indonesia,Jakarta,State visit. Met with President Suharto.,Richard Nixon
"July 28–30, 1969",Thailand,Bangkok,State visit. Met with King Bhumibol Adulyadej.,Richard Nixon
"July 30, 1969",South Vietnam,"Saigon,Di An",Met with President Nguyen Van Thieu. Visited U.S. military personnel.,Richard Nixon
"July 31 – August 1, 1969",India,New Delhi,State visit. Met with Acting President Mohammad Hidayatullah.,Richard Nixon
"August 1–2, 1969",Pakistan,Lahore,State visit. Met with President Yahya Khan.,Richard Nixon
"August 2–3, 1969",Romania,Bucharest,Official visit. Met with President Nicolae Ceaușescu.,Richard Nixon
"August 3, 1969",United Kingdom,RAF Mildenhall,Informal meeting with Prime Minister Harold Wilson.,Richard Nixon
"September 8, 1969",Mexico,Ciudad Acuña,Dedication of Amistad Dam with President Gustavo Díaz Ordaz.,Richard Nixon
"August 20–21, 1970",Mexico,Puerto Vallarta,Official visit. Met with President Gustavo Díaz Ordaz.,Richard Nixon
"September 27–30, 1970",Italy,"Rome,Naples",Official visit. Met with President Giuseppe Saragat. Visited NATO Southern Command.,Richard Nixon
"September 28, 1970",Vatican City,Apostolic Palace,Audience with Pope Paul VI.,Richard Nixon
"September 30 – October 2, 1970",Yugoslavia,"Belgrade,Zagreb",State visit. Met with President Josip Broz Tito.,Richard Nixon
"October 2–3, 1970",Spain,Madrid,State visit. Met with Generalissimo Francisco Franco.,Richard Nixon
"October 3, 1970",United Kingdom,Chequers,Met informally with Queen Elizabeth II and Prime Minister Edward Heath.,Richard Nixon
"October 3–5, 1970",Ireland,"Limerick,Timahoe,Dublin",State visit. Met with T Prime Minister Jack Lynch.,Richard Nixon
"November 12, 1970",France,Paris,Attended the memorial services for former President Charles de Gaulle.,Richard Nixon
"December 13–14, 1971",Portugal,Terceira Island,Discussed international monetary problems with French President Georges Pompidou and Portuguese Prime Minister Marcelo Caetano.,Richard Nixon
"December 20–21, 1971",Bermuda,Hamilton,Met with Prime Minister Edward Heath.,Richard Nixon
"February 21–28, 1972",China,"Shanghai,Peking,Hangchow",State visit. Met with Party Chairman Mao Zedong and Premier Zhou Enlai.,Richard Nixon
"April 13–15, 1972",Canada,Ottawa,State visit. Met with Governor General Roland Michener and Prime Minister Pierre Trudeau. Addressed Parliament. Signed the Great Lakes Water Quality Agreement.[117],Richard Nixon
"May 20–22, 1972",Austria,Salzburg,Informal visit. Met with Chancellor Bruno Kreisky.,Richard Nixon
"May 22–30, 1972",Soviet Union,"Moscow,Leningrad,Kiev",State visit. Met with Premier Alexei Kosygin and General Secretary Leonid Brezhnev. Signed the SALT I and ABM Treaties.,Richard Nixon
"May 30–31, 1972",Iran,Tehran,Official visit. Met with Shah Mohammad Reza Pahlavi.,Richard Nixon
"May 31 – June 1, 1972",Poland,Warsaw,Official visit. Met with First Secretary Edward Gierek.,Richard Nixon
"May 31 – June 1, 1973",Iceland,Reykjavík,Met with President Kristján Eldjárn and Prime Minister Ólafur Jóhannesson and French President Georges Pompidou.,Richard Nixon
"April 5–7, 1974",France,Paris,"Attended the memorial services for former President Georges Pompidou. Met afterward with interim President Alain Poher, Italian President Giovanni Leone, British Prime Minister Harold Wilson, West German Chancellor Willy Brandt, Danish Prime Minister Poul Hartling, Soviet President Nikolai Podgorny and Japanese Prime Minister Kakuei Tanaka.",Richard Nixon
"June 10–12, 1974",Austria,Salzburg,Met with Chancellor Bruno Kreisky.,Richard Nixon
"June 12–14, 1974",Egypt,"Cairo,Alexandria",Met with President Anwar Sadat.,Richard Nixon
"June 14–15, 1974",Saudi Arabia,Jedda,Met with King Faisal.,Richard Nixon
"June 15–16, 1974",Syria,Damascus,Met with President Hafez al-Assad.,Richard Nixon
"June 16–17, 1974",Israel,"Tel Aviv,Jerusalem",Met with President Ephraim Katzir and Prime Minister Yitzhak Rabin.,Richard Nixon
"June 17–18, 1974",Jordan,Amman,State visit. Met with King Hussein.,Richard Nixon
"June 18–19, 1974",Portugal,Lajes Field,Met with President António de Spínola.,Richard Nixon
"June 25–26, 1974",Belgium,Brussels,"Attended the North Atlantic Council Meeting. Met separately with King Baudouin I and Queen Fabiola, Prime Minister Leo Tindemans, and with German Chancellor Helmut Schmidt, British Prime Minister Harold Wilson and Italian Prime Minister Mariano Rumor.",Richard Nixon
"June 27 – July 3, 1974",Soviet Union,"Moscow,Minsk,Oreanda","Official visit. Met with General Secretary Leonid Brezhnev, President Nikolai Podgorny and Premier Alexei Kosygin. Signing of the Threshold Test Ban Treaty.",Richard Nixon
"February 6–14, 1933",The Bahamas,,Fishing trip. (Visit made as President-elect.),Franklin D. Roosevelt
"June 29 – July 1, 1933",Canada,Campobello Island,Vacation.,Franklin D. Roosevelt
"March 29 – April 11, 1934",The Bahamas,"Elbow Cay,Gun Cay.[353]",Fishing trip.,Franklin D. Roosevelt
"July 5–6, 1934",Haiti,Cap Haitien,Informal visit en route to vacation in Hawaii.,Franklin D. Roosevelt
"July 10, 1934",Colombia,Cartagena,,Franklin D. Roosevelt
"July 11–12, 1934",Panama,Panama City,,Franklin D. Roosevelt
"March 27 – April 6, 1935",The Bahamas,"Cat Cays,Lobos Cay,Great Inagua Island,Crooked Island[353]",Fishing trip.,Franklin D. Roosevelt
"October 16, 1935",Panama,Balboa,"Informal visit with President Harmodio Arias Madrid while returning to Washington, D.C. from the U.S. West Coast.",Franklin D. Roosevelt
"March 24 – April 7, 1936",The Bahamas,"Great Inagua Island,Nassau","Fishing trip. Luncheon with Governor Bede Clifford and the President of the Legislative Council, George Johnson.[354]",Franklin D. Roosevelt
"July 28–30, 1936",Canada,Campobello Island,Vacation.,Franklin D. Roosevelt
"July 31, 1936",Quebec city,Official visit. Met with Governor General John Buchan.,,Franklin D. Roosevelt
"November 21, 1936",Trinidad and Tobago,Port of Spain,Stopped on the way to South America.,Franklin D. Roosevelt
"November 27, 1936",Brazil,Rio de Janeiro,Addressed Brazilian Congress.,Franklin D. Roosevelt
"November 30 – December 2, 1936",Argentina,Buenos Aires,Attended session of Inter-American Conference for the Maintenance of Peace.,Franklin D. Roosevelt
"December 3, 1936",Uruguay,Montevideo,Official visit. Met with President Gabriel Terra.,Franklin D. Roosevelt
"December 11, 1936",Trinidad and Tobago,Port of Spain,Stopped while returning to the United States.,Franklin D. Roosevelt
"August 4–5, 1938",Panama,Balboa,Informal visit with President Juan Demóstenes Arosemena during vacation in the Caribbean.,Franklin D. Roosevelt
"August 18, 1938",Canada,Kingston,"Received honorary degree from Queen's University and together with Prime Minister William Lyon Mackenzie King, and the Lieutenant Governor of Ontario, Albert Edward Matthews, dedicated the Thousand Islands Bridge.",Franklin D. Roosevelt
"August 14–16, 1939",Canada,"Campobello Island,Sydney",Vacation.,Franklin D. Roosevelt
"August 17–20, 1939",Newfoundland,"Bay of Islands,Bonne Bay",,Franklin D. Roosevelt
"August 21–23, 1939",Canada,Halifax,,Franklin D. Roosevelt
"February 27, 1940",Panama,"Cristóbal,Balboa",Met informally with President Augusto Samuel Boyd during vacation.,Franklin D. Roosevelt
"December 5, 1940",Jamaica,Kingston,Inspected British base sites for possible American use.,Franklin D. Roosevelt
"December 8, 1940",Saint Lucia,,Inspected British base sites for possible American use.,Franklin D. Roosevelt
"December 8, 1940",Martinique,Fort Saint Louis,Conferred with U.S. officials.,Franklin D. Roosevelt
"December 9, 1940",British Leeward Islands,Antigua,Inspected British base sites for possible American use.,Franklin D. Roosevelt
"December 12–13, 1940",The Bahamas,Eleuthera Island,"Inspected British base sites for possible American use. Met with the Governor, H.R.H. the Duke of Windsor. Returned to the U.S. on December 14.",Franklin D. Roosevelt
"August 9–12, 1941",Newfoundland,Argentia,Conferred with British Prime Minister Winston Churchill aboard ship (HMS Prince of Wales and USS Augusta) in Placentia Bay. At the conclusion of the conference they issued the Atlantic Charter.[355],Franklin D. Roosevelt
"January 11, 1943",Trinidad and Tobago,Port of Spain,Overnight stop en route to Africa.,Franklin D. Roosevelt
"January 12, 1943",Brazil,Belém,,Franklin D. Roosevelt
"January 13, 1943",The Gambia,Bathurst,,Franklin D. Roosevelt
"January 14–25, 1943",Morocco,Casablanca,Attended Casablanca Conference with British Prime Minister Winston Churchill.,Franklin D. Roosevelt
"January 25, 1943",The Gambia,Bathurst,Overnight stop en route from Casablanca.,Franklin D. Roosevelt
"January 26–27, 1943",Liberia,Monrovia,Informal visit. Met with President Edwin Barclay.,Franklin D. Roosevelt
"January 28, 1943",Brazil,Natal,Informal visit. Met with President Getúlio Vargas.,Franklin D. Roosevelt
"January 29, 1943",Trinidad and Tobago,Port of Spain,Overnight stop en route from Casablanca.,Franklin D. Roosevelt
"April 20, 1943",Mexico,Monterrey,Part of an exchange of visits with President Manuel Ávila Camacho across the border.,Franklin D. Roosevelt
"August 17–25, 1943",Canada,Quebec CityOttawa,"Attended First Quebec Conference with Prime Minister William Lyon Mackenzie King and British Prime Minister Winston Churchill. Addressed senators, Members of Parliament, and the general public outside the houses of parliament.[356]",Franklin D. Roosevelt
"November 20–21, 1943",Algeria,Oran,Disembarked.,Franklin D. Roosevelt
"November 21–22, 1943",Tunisia,Tunis,Overnight stop.,Franklin D. Roosevelt
"November 22–26, 1943",Egypt,Cairo,Attended First Cairo Conference with British Prime Minister Winston Churchill and Chinese leader Chiang Kai-shek.,Franklin D. Roosevelt
"November 27 – December 2, 1943",Iran,Tehran,Attended Tehran Conference with Soviet Premier Joseph Stalin and British Prime Minister Winston Churchill.,Franklin D. Roosevelt
"December 2–7, 1943",Egypt,Cairo,Attended Second Cairo Conference with British Prime Minister Winston Churchill and Turkish President İsmet İnönü.,Franklin D. Roosevelt
"December 7–9, 1943",Tunisia,Tunis,Conferred with General Dwight Eisenhower.,Franklin D. Roosevelt
"December 8, 1943",Malta,Valletta,Visited Allied military installations,Franklin D. Roosevelt
"December 8, 1943",Italy,Castelvetrano,Visited Allied military installations,Franklin D. Roosevelt
"December 9, 1943",Senegal,Dakar,Re-embarked for the U.S.,Franklin D. Roosevelt
"September 11–16, 1944",Canada,Quebec City,Attended Second Quebec Conference with British Prime Minister Winston Churchill and the Allied Combined Chiefs of Staff.,Franklin D. Roosevelt
"February 2, 1945",Malta,Floriana,Attended Malta Conference with Prime Minister Winston Churchill.,Franklin D. Roosevelt
"February 3–12, 1945",Soviet Union,Yalta,Attended Yalta Conference with Soviet Premier Joseph Stalin and British Prime Minister Winston Churchill.,Franklin D. Roosevelt
"February 13–15, 1945",Egypt,"Great Bitter Lake,Suez Canal,Alexandria","Met with King Farouk, Ethiopian Emperor Haile Selassie, Saudi Arabian King Ibn Saud, and British Prime Minister Winston Churchill.",Franklin D. Roosevelt
"February 18, 1945",Algeria,Algiers,"Briefed U.S. Ambassadors to the United Kingdom, France, and Italy on the Yalta Conference.",Franklin D. Roosevelt
"December 2–5, 1952",South Korea,Seoul,Visit to Korean combat zone. (Visit made as President-elect.),Dwight D. Eisenhower
"October 19, 1953",Mexico,Nueva Ciudad Guerrero,"Dedication of Falcon Dam, with President Adolfo Ruiz Cortines.[114]",Dwight D. Eisenhower
"November 13–15, 1953",Canada,Ottawa,State visit. Met with Governor General Vincent Massey and Prime Minister Louis St. Laurent. Addressed Parliament.,Dwight D. Eisenhower
"December 4–8, 1953",Bermuda,Hamilton,Attended the Bermuda Conference with Prime Minister Winston Churchill and French Prime Minister Joseph Laniel.,Dwight D. Eisenhower
"July 16–23, 1955",Switzerland,Geneva,"Attended the Geneva Summit with British Prime Minister Anthony Eden, French Premier Edgar Faure and Soviet Premier Nikolai Bulganin.",Dwight D. Eisenhower
"July 21–23, 1956",Panama,Panama City,Attended the meeting of the presidents of the American republics.,Dwight D. Eisenhower
"March 20–24, 1957",Bermuda,Hamilton,Met with Prime Minister Harold Macmillan.,Dwight D. Eisenhower
"December 14–19, 1957",France,Paris,Attended the First NATO summit.,Dwight D. Eisenhower
"July 8–11, 1958",Canada,Ottawa,Informal visit. Met with Governor General Vincent Massey and Prime Minister John Diefenbaker. Addressed Parliament.,Dwight D. Eisenhower
"February 19–20, 1959",Mexico,Acapulco,Informal meeting with President Adolfo López Mateos.,Dwight D. Eisenhower
"June 26, 1959",Canada,Montreal,Joined Queen Elizabeth II in ceremony opening the St. Lawrence Seaway.,Dwight D. Eisenhower
"August 26–27, 1959",West Germany,Bonn,Informal meeting with Chancellor Konrad Adenauer and President Theodor Heuss.,Dwight D. Eisenhower
"August 27 – September 2, 1959",United Kingdom,"London,Balmoral,Chequers",Informal visit. Met Prime Minister Harold Macmillan and Queen Elizabeth II.,Dwight D. Eisenhower
"September 2–4, 1959",France,Paris,Informal meeting with President Charles de Gaulle and Italian Prime Minister Antonio Segni. Addressed North Atlantic Council.,Dwight D. Eisenhower
"September 4–7, 1959",United Kingdom,Culzean Castle,Rested before returning to the United States.,Dwight D. Eisenhower
"December 4–6, 1959",Italy,Rome,Informal visit. Met with President Giovanni Gronchi.,Dwight D. Eisenhower
"December 6, 1959",Vatican City,Apostolic Palace,Audience with Pope John XXIII.,Dwight D. Eisenhower
"December 6–7, 1959",Turkey,Ankara,Informal visit. Met with President Celâl Bayar.,Dwight D. Eisenhower
"December 7–9, 1959",Pakistan,Karachi,Informal visit. Met with President Ayub Khan.,Dwight D. Eisenhower
"December 9, 1959",Afghanistan,Kabul,Informal visit. Met with King Mohammed Zahir Shah.,Dwight D. Eisenhower
"December 9–14, 1959",India,"New Delhi, Agra",Met with President Rajendra Prasad and Prime Minister Jawaharlal Nehru. Addressed Parliament.,Dwight D. Eisenhower
"December 14, 1959",Iran,Tehran,Met with Shah Mohammad Reza Pahlavi. Addressed Parliament.,Dwight D. Eisenhower
"December 14–15, 1959",Greece,Athens,Official visit. Met with King Paul and Prime Minister Konstantinos Karamanlis. Addressed Parliament.,Dwight D. Eisenhower
"December 17, 1959",Tunisia,Tunis,Met with President Habib Bourguiba.,Dwight D. Eisenhower
"December 18–21, 1959",France,"Toulon,Paris","Conference with President Charles de Gaulle, British Prime Minister Harold Macmillan and German Chancellor Konrad Adenauer.",Dwight D. Eisenhower
"December 21–22, 1959",Spain,Madrid,Met with Generalissimo Francisco Franco.,Dwight D. Eisenhower
"December 22, 1959",Morocco,Casablanca,Met with King Mohammed V.,Dwight D. Eisenhower
"February 23–26, 1960",Brazil,"Brasília,Rio de Janeiro,São Paulo",Met with President Juscelino Kubitschek. Addressed Brazilian Congress.,Dwight D. Eisenhower
"February 26–29, 1960",Argentina,"Buenos Aires,Mar del Plata,San Carlos de Bariloche",Met with President Arturo Frondizi.,Dwight D. Eisenhower
"February 29 – March 2, 1960",Chile,Santiago,Met with President Jorge Alessandri.,Dwight D. Eisenhower
"March 2–3, 1960",Uruguay,Montevideo,Met with President Benito Nardone. Returned to the U.S. via Buenos Aires and Suriname.,Dwight D. Eisenhower
"May 15–19, 1960",France,Paris,"Conference with President Charles de Gaulle, British Prime Minister Harold Macmillan and Soviet Premier Nikita Khrushchev.",Dwight D. Eisenhower
"May 19–20, 1960",Portugal,Lisbon,Official visit. Met with President Américo Tomás.,Dwight D. Eisenhower
"June 14–16, 1960",Philippines,Manila,State visit. Met with President Carlos P. Garcia.,Dwight D. Eisenhower
"June 18–19, 1960",Republic of China,Taipei,State visit. Met with President Chiang Kai-shek.,Dwight D. Eisenhower
"June 19–20, 1960",South Korea,Seoul,Met with Prime Minister Heo Jeong. Addressed the National Assembly.,Dwight D. Eisenhower
"October 24, 1960",Mexico,Ciudad Acuña,Informal visit. Met with President Adolfo López Mateos.,Dwight D. Eisenhower
